id,Name,Url,Loaded,ExpensiveLevel,Category,SubCategories,Claimed,HasWebsite,Stars,Reviews,Photos,AttributesHas,AttributesCount,QuestionsCount,OpenDaysCount,HasBreaks,OpenHour1,EndHour1,CountHour1,HasBreaks1,OpenHour2,EndHour2,CountHour2,HasBreaks2,OpenHour3,EndHour3,CountHour3,HasBreaks3,OpenHour4,EndHour4,CountHour4,HasBreaks4,OpenHour5,EndHour5,CountHour5,HasBreaks5,OpenHour6,EndHour6,CountHour6,HasBreaks6,OpenHour7,EndHour7,CountHour7,HasBreaks7,HasBreak1,HasBreak2,HasBreak3,HasBreak4,HasBreak5,HasBreak6,HasBreak7,ExtraName,ExtraAttributes
0,Skyline Restaurant,https://www.yelp.com/biz/skyline-restaurant-adelaide?hrid=cLpymLAKxqkGknJ_UHbhjA&osq=Restaurants,1,0.0,Restaurants,['Restaurants'],0.0,1.0,8.0,4.0,13.0,"['Takes Reservations', 'No Delivery', 'No Takeout', 'Good for Groups']",4.0,3.0,,,14.0,45.0,15.0,,13.0,45.0,21.0,,13.0,45.0,21.0,,13.0,45.0,21.0,,13.0,45.0,21.0,,13.0,45.0,21.0,,13.0,45.0,15.0,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,Skyline Restaurant,"{""GoodForKids"": ""True"", ""Alcohol"": ""u'beer_and_wine'"", ""BusinessAcceptsCreditCards"": ""True"", ""HasTV"": ""False"", ""RestaurantsAttire"": ""u'casual'"", ""WiFi"": ""u'free'"", ""RestaurantsGoodForGroups"": ""True"", ""RestaurantsPriceRange2"": ""2"", ""NoiseLevel"": ""u'average'"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsReservations"": ""False"", ""Caters"": ""False"", ""DriveThru"": ""False"", ""BikeParking"": ""True"", ""RestaurantsTableService"": ""True"", ""BusinessAcceptsBitcoin"": ""False"", ""WheelchairAccessible"": ""True"", ""RestaurantsDelivery"": ""True"", ""GoodForMeal"": ""{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", ""BYOB"": ""False"", ""Ambience"": ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': True, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", ""HappyHour"": ""False"", ""DogsAllowed"": ""False"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", ""OutdoorSeating"": ""True""}"
1,Proof,https://www.yelp.com/biz/proof-adelaide?osq=Restaurants,1,2.0,Restaurants,"['Wine Bars', 'Restaurants']",0.0,1.0,9.0,13.0,22.0,"['No Reservations', 'No Delivery', 'No Takeout', 'Accepts Debit Cards']",4.0,3.0,,,,,0.0,,32.0,52.0,20.0,,32.0,52.0,20.0,,32.0,52.0,20.0,,32.0,52.0,20.0,,28.0,52.0,24.0,,32.0,33.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Proof,"{""Alcohol"": ""u'full_bar'"", ""NoiseLevel"": ""u'average'"", ""BikeParking"": ""True"", ""RestaurantsPriceRange2"": ""2"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""OutdoorSeating"": ""True"", ""HasTV"": ""True"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsGoodForGroups"": ""True"", ""HappyHour"": ""True""}"
2,The Gallery,https://www.yelp.com/biz/the-gallery-adelaide?hrid=bBMGSGGF6pU9FjcNWQLJvw&osq=Restaurants,1,2.0,Restaurants,"['Restaurants', 'Bars']",0.0,1.0,8.0,16.0,27.0,"['No Reservations', 'No Delivery', 'No Takeout', 'Accepts Debit Cards']",4.0,3.0,,,,,0.0,,,,0.0,,22.0,48.0,26.0,,22.0,48.0,26.0,,22.0,48.0,26.0,,22.0,52.0,30.0,,34.0,52.0,18.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Gallery,"{""OutdoorSeating"": ""False"", ""Alcohol"": ""u'full_bar'"", ""HasTV"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", ""BusinessAcceptsBitcoin"": ""False"", ""Music"": ""{'dj': True, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", ""RestaurantsReservations"": ""True"", ""RestaurantsTakeOut"": ""False"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", ""BusinessAcceptsCreditCards"": ""True"", ""Smoking"": ""u'no'"", ""WiFi"": ""u'free'"", ""WheelchairAccessible"": ""True"", ""RestaurantsAttire"": ""'casual'"", ""Caters"": ""False"", ""BikeParking"": ""True"", ""Ambience"": ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", ""RestaurantsDelivery"": ""False"", ""GoodForDancing"": ""False"", ""RestaurantsPriceRange2"": ""3"", ""RestaurantsTableService"": ""True"", ""RestaurantsGoodForGroups"": ""True"", ""HappyHour"": ""False"", ""GoodForKids"": ""False"", ""CoatCheck"": ""False"", ""DogsAllowed"": ""False""}"
3,Ajisen Ramen,https://www.yelp.com/biz/ajisen-ramen-adelaide?osq=Restaurants,1,2.0,Restaurants,"['Japanese', 'Korean']",0.0,0.0,8.0,15.0,16.0,"['Takes Reservations', 'Offers Takeout', 'No Delivery', 'Accepts Debit Cards']",4.0,4.0,,,24.0,43.0,19.0,,24.0,43.0,19.0,,24.0,43.0,19.0,,24.0,43.0,19.0,,24.0,43.0,19.0,,24.0,43.0,19.0,,24.0,43.0,19.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ajisen Ramen,"{""RestaurantsReservations"": ""True"", ""Caters"": ""False"", ""WiFi"": ""u'no'"", ""RestaurantsDelivery"": ""False"", ""GoodForKids"": ""True"", ""RestaurantsAttire"": ""u'casual'"", ""Alcohol"": ""u'none'"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""RestaurantsPriceRange2"": ""1"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'upscale': False, 'touristy': False, 'trendy': False, 'casual': False}"", ""HasTV"": ""False"", ""NoiseLevel"": ""u'quiet'"", ""RestaurantsGoodForGroups"": ""True"", ""OutdoorSeating"": ""False"", ""RestaurantsTakeOut"": ""True""}"
4,Iberia,https://www.yelp.com/biz/iberia-adelaide?osq=Restaurants,1,0.0,Restaurants,"['Tapas/Small Plates', 'Spanish', 'Cocktail Bars']",0.0,1.0,8.0,3.0,10.0,0,,2.0,,,24.0,44.0,16.0,,34.0,44.0,10.0,,34.0,44.0,10.0,,24.0,44.0,16.0,,24.0,44.0,16.0,,24.0,46.0,18.0,,24.0,46.0,18.0,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,Iberia,null
5,Fuji Sushi,https://www.yelp.com/biz/fuji-sushi-adelaide-3?hrid=So90dvAT8ZH1wdzt4qdcqg&osq=Restaurants,1,1.0,Restaurants,"['Sushi Bars', 'Japanese', 'Fast Food']",1.0,0.0,10.0,1.0,14.0,"['Offers Takeout', 'No Reservations', 'No Delivery', 'Accepts Debit Cards']",4.0,4.0,,,,,0.0,,24.0,40.0,12.0,,24.0,40.0,12.0,,24.0,40.0,12.0,,24.0,40.0,12.0,,24.0,40.0,12.0,,,,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Fuji Sushi,"{""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""HasTV"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""RestaurantsTakeOut"": ""True"", ""GoodForKids"": ""True"", ""RestaurantsReservations"": ""True"", ""OutdoorSeating"": ""False"", ""RestaurantsAttire"": ""u'casual'"", ""BikeParking"": ""True"", ""RestaurantsDelivery"": ""False"", ""RestaurantsPriceRange2"": ""2"", ""WiFi"": ""u'no'"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""Caters"": ""True"", ""NoiseLevel"": ""u'average'"", ""Alcohol"": ""u'full_bar'""}"
6,Subway,https://www.yelp.com/biz/subway-adelaide-15?hrid=8CT0sshwpAqyA77nUvMVOQ&osq=Restaurants,1,0.0,Restaurants,"['Fast Food', 'Delis']",0.0,1.0,10.0,1.0,0.0,0,,2.0,,,18.0,34.0,16.0,,14.0,39.0,25.0,,14.0,39.0,25.0,,14.0,39.0,25.0,,14.0,39.0,25.0,,14.0,42.0,28.0,,14.0,39.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Subway,"{""RestaurantsAttire"": ""u'casual'"", ""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsGoodForGroups"": ""False"", ""Alcohol"": ""u'none'"", ""GoodForKids"": ""True"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsTakeOut"": ""True"", ""OutdoorSeating"": ""False"", ""NoiseLevel"": ""u'quiet'"", ""RestaurantsPriceRange2"": ""1"", ""RestaurantsReservations"": ""False"", ""RestaurantsDelivery"": ""True"", ""HasTV"": ""True"", ""Caters"": ""True""}"
7,The Oyster Bar,https://www.yelp.com/biz/the-oyster-bar-adelaide?hrid=2JQOc60GD42DPLXKOlHhzA&osq=Restaurants,1,2.0,Restaurants,"['Bars', 'Seafood', 'Chinese']",1.0,1.0,8.0,11.0,19.0,"['Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Accepts Debit Cards']",4.0,4.0,,,24.0,52.0,28.0,,,,0.0,,24.0,52.0,28.0,,24.0,52.0,28.0,,24.0,52.0,28.0,,24.0,52.0,28.0,,24.0,52.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The Oyster Bar,"{""RestaurantsDelivery"": ""False"", ""HasTV"": ""True"", ""Caters"": ""True"", ""OutdoorSeating"": ""False"", ""BusinessAcceptsCreditCards"": ""True"", ""BusinessParking"": ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsTakeOut"": ""True"", ""Alcohol"": ""u'beer_and_wine'"", ""GoodForKids"": ""True"", ""RestaurantsAttire"": ""u'casual'"", ""RestaurantsReservations"": ""False"", ""BikeParking"": ""True"", ""RestaurantsGoodForGroups"": ""False"", ""RestaurantsPriceRange2"": ""2"", ""GoodForDancing"": ""False"", ""NoiseLevel"": ""u'loud'"", ""WiFi"": ""'no'"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", ""Ambience"": ""{'touristy': True, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': None}"", ""HappyHour"": ""False""}"
8,Seoul Express,https://www.yelp.com/biz/seoul-express-adelaide-3?hrid=eLWxQoF1v4QBj6AUVlaTag&osq=Restaurants,1,1.0,Restaurants,"['Korean', 'Fast Food']",0.0,0.0,8.0,5.0,14.0,"['Offers Takeout', 'No Reservations', 'No Delivery', 'Accepts Debit Cards']",4.0,4.0,,,,,0.0,,21.0,35.0,14.0,,21.0,35.0,14.0,,21.0,35.0,14.0,,21.0,35.0,14.0,,21.0,39.0,18.0,,21.0,31.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seoul Express,"{""Alcohol"": ""u'none'"", ""GoodForKids"": ""True"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'upscale': False, 'touristy': False, 'trendy': False, 'hipster': False, 'casual': False}"", ""RestaurantsPriceRange2"": ""1"", ""OutdoorSeating"": ""False"", ""WiFi"": ""'no'"", ""RestaurantsReservations"": ""False"", ""NoiseLevel"": ""u'average'"", ""HasTV"": ""True"", ""RestaurantsAttire"": ""u'casual'"", ""BikeParking"": ""True"", ""Caters"": ""False"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}"
9,Townhouse,https://www.yelp.com/biz/townhouse-emeryville-2?osq=Restaurants,1,2.0,Restaurants,['American (New)'],1.0,1.0,8.0,1265.0,899.0,"['Takes Reservations', 'Offers Takeout', 'No Delivery', 'All staff fully vaccinated']",4.0,4.0,,,,,0.0,,,,0.0,,32.0,42.0,10.0,,32.0,42.0,10.0,,32.0,42.0,10.0,,32.0,42.0,10.0,,32.0,42.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Townhouse,"{""RestaurantsPriceRange2"": ""2"", ""HasTV"": ""False"", ""BusinessAcceptsCreditCards"": ""True"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': True, 'upscale': False, 'casual': False}"", ""Alcohol"": ""u'full_bar'"", ""RestaurantsGoodForGroups"": ""True"", ""NoiseLevel"": ""u'loud'"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""HappyHour"": ""True"", ""OutdoorSeating"": ""True""}"
